danceability,energy,tempo,valence,track_genre
0.676,0.461,87.917,0.715,acoustic
0.42,0.166,77.489,0.267,acoustic
0.438,0.359,76.332,0.12,acoustic
0.266,0.0596,181.74,0.143,acoustic
0.618,0.443,119.949,0.167,acoustic
0.688,0.481,98.017,0.666,acoustic
0.407,0.147,141.284,0.0765,acoustic
0.703,0.444,150.96,0.712,acoustic
0.625,0.414,130.088,0.669,acoustic
0.442,0.632,78.899,0.196,acoustic
0.627,0.363,99.905,0.301,acoustic
0.483,0.303,133.406,0.139,acoustic
0.489,0.314,124.234,0.607,acoustic
0.691,0.234,87.103,0.209,acoustic
0.755,0.78,120.004,0.387,acoustic
0.489,0.561,83.457,0.238,acoustic
0.706,0.112,110.154,0.414,acoustic
0.795,0.0841,91.803,0.609,acoustic
0.625,0.414,130.088,0.669,acoustic
0.717,0.32,107.946,0.322,acoustic
0.703,0.444,150.96,0.712,acoustic
0.678,0.351,90.032,0.569,acoustic
0.407,0.147,141.284,0.0765,acoustic
0.572,0.454,140.182,0.515,acoustic
0.796,0.667,97.988,0.754,acoustic
0.755,0.454,120.06,0.33,acoustic
0.62,0.309,145.363,0.664,acoustic
0.633,0.429,143.793,0.52,acoustic
0.62,0.309,145.363,0.664,acoustic
0.62,0.309,145.363,0.664,acoustic
0.62,0.309,145.363,0.664,acoustic
0.62,0.309,145.363,0.664,acoustic
0.593,0.455,202.019,0.564,acoustic
0.296,0.206,165.4,0.202,acoustic
0.296,0.206,165.4,0.202,acoustic
0.296,0.206,165.4,0.202,acoustic
0.409,0.153,85.262,0.18,acoustic
0.501,0.0952,138.016,0.316,acoustic
0.606,0.326,91.626,0.414,acoustic
0.409,0.153,85.262,0.18,acoustic
0.474,0.519,151.832,0.326,acoustic
0.568,0.301,88.029,0.142,acoustic
0.568,0.686,172.075,0.725,acoustic
0.568,0.686,172.075,0.725,acoustic
0.476,0.666,148.155,0.498,acoustic
0.568,0.686,172.075,0.725,acoustic
0.568,0.686,172.075,0.725,acoustic
0.568,0.686,172.075,0.725,acoustic
0.568,0.686,172.075,0.725,acoustic
0.568,0.686,172.075,0.725,acoustic
0.596,0.2,107.893,0.308,acoustic
0.373,0.914,168.21,0.56,acoustic
0.494,0.652,137.018,0.298,acoustic
0.447,0.393,73.139,0.564,acoustic
0.576,0.331,149.02,0.407,acoustic
0.536,0.89,121.974,0.273,acoustic
0.526,0.333,94.951,0.159,acoustic
0.501,0.381,80.075,0.502,acoustic
0.27,0.275,168.964,0.231,acoustic
0.731,0.507,117.969,0.265,acoustic
0.375,0.457,174.839,0.415,acoustic
0.43,0.791,171.864,0.217,acoustic
0.616,0.282,96.638,0.435,acoustic
0.705,0.347,80.057,0.36,acoustic
0.582,0.255,139.884,0.285,acoustic
0.549,0.274,86.664,0.207,acoustic
0.787,0.355,99.978,0.48,acoustic
0.397,0.303,81.05,0.172,acoustic
0.548,0.42,128.012,0.196,acoustic
0.787,0.403,118.042,0.264,acoustic
0.484,0.573,139.966,0.346,acoustic
0.382,0.416,102.089,0.125,acoustic
0.541,0.575,91.98,0.428,acoustic
0.607,0.473,119.698,0.54,acoustic
0.417,0.595,147.928,0.117,acoustic
0.572,0.454,140.182,0.515,acoustic
0.709,0.913,108.024,0.519,acoustic
0.537,0.342,109.236,0.253,acoustic
0.602,0.336,90.894,0.335,acoustic
0.643,0.638,82.001,0.6,acoustic
0.451,0.7,150.055,0.37,acoustic
0.546,0.391,139.669,0.202,acoustic
0.561,0.327,161.858,0.298,acoustic
0.479,0.541,85.994,0.3,acoustic
0.479,0.541,85.994,0.3,acoustic
0.436,0.4,100.734,0.351,acoustic
0.551,0.836,185.063,0.758,acoustic
0.409,0.153,85.262,0.18,acoustic
0.409,0.153,85.262,0.18,acoustic
0.6,0.845,97.631,0.392,acoustic
0.492,0.145,90.078,0.218,acoustic
0.492,0.145,90.078,0.218,acoustic
0.447,0.555,117.888,0.33,acoustic
0.492,0.145,90.078,0.218,acoustic
0.492,0.145,90.078,0.218,acoustic
0.492,0.145,90.078,0.218,acoustic
0.492,0.145,90.078,0.218,acoustic
0.492,0.145,90.078,0.218,acoustic
0.661,0.937,105.549,0.805,acoustic
0.603,0.78,100.499,0.693,acoustic
0.626,0.655,92.003,0.542,acoustic
0.794,0.38,114.99,0.617,acoustic
0.52,0.279,69.642,0.0951,acoustic
0.545,0.658,76.971,0.683,acoustic
0.728,0.266,115.189,0.307,acoustic
0.66,0.407,133.86,0.257,acoustic
0.357,0.161,83.449,0.325,acoustic
0.479,0.154,147.207,0.36,acoustic
0.592,0.769,102.033,0.385,acoustic
0.7,0.454,80.011,0.34,acoustic
0.402,0.197,100.044,0.148,acoustic
0.507,0.378,135.86,0.085,acoustic
0.619,0.226,124.96,0.188,acoustic
0.404,0.571,147.01,0.29,acoustic
0.418,0.79,175.975,0.197,acoustic
0.633,0.299,147.549,0.341,acoustic
0.565,0.0392,125.399,0.601,acoustic
0.664,0.0755,80.004,0.575,acoustic
0.585,0.303,136.703,0.142,acoustic
0.65,0.271,78.036,0.21,acoustic
0.534,0.213,98.385,0.0998,acoustic
0.456,0.386,165.733,0.612,acoustic
0.409,0.234,139.832,0.145,acoustic
0.502,0.53,78.046,0.102,acoustic
0.496,0.117,78.068,0.318,acoustic
0.585,0.724,187.484,0.333,acoustic
0.582,0.253,90.186,0.294,acoustic
0.637,0.14,139.78,0.392,acoustic
0.672,0.623,92.018,0.617,acoustic
0.422,0.272,143.413,0.113,acoustic
0.47,0.801,173.92,0.431,acoustic
0.564,0.864,95.984,0.534,acoustic
0.521,0.495,135.061,0.116,acoustic
0.616,0.81,97.994,0.79,acoustic
